"22","Justin Fields","QB","PIT","15.5","16.7","11.7","28.9","33","5.9","-","-","-","-","21.2","10.6","-","24.7","11.6","25.5","25.2","8.6","18.4","239.2"
"23","Geno Smith","QB","SEA","9.1","23.1","16.4","8.2","BYE","13","14.8","15.9","3.7","24.1","13.2","8.3","31","-","-","17.3","16.9","20.4","15.7","235.3"
"24","Travis Etienne Jr.","RB","JAC","16.4","4.2","13.8","7.2","32.4","20.3","19.7","22.9","BYE","4.4","5.9","8.6","13.9","13.2","5.9","3.1","23.8","8.7","13.2","224.4"
"25","Kyren Williams","RB","LAR","17.4","22","6.5","24.7","5.7","21.8","-","-","-","BYE","-","32.4","17.2","11.3","19.5","16.4","28.1","-","18.6","223"
"26","Derrick Henry","RB","BAL","11.9","15.5","2","23.4","6.2","17.3","-","12.2","16.2","2","4.4","19.6","24","17.1","1","20.4","4.2","21.3","12.9","218.7"
"27","Joe Mixon","RB","HOU","7.3","9.5","13","7.6","9.4","6.2","BYE","17","12.8","10.5","16","6","23.7","18.5","12.1","7","14.7","23.7","12.6","215"
"28","Breece Hall","RB","NYJ","14.7","0.9","2.7","6.9","25.4","15.3","BYE","15.3","6","7.5","13.3","4.9","4.5","18.6","1.8","31.1","18.6","27","12.6","214.5"
"29","Amon-Ra St. Brown","WR","DET","13.1","8.2","10.6","11.6","-","18.4","10.2","10.8","BYE","22.5","13.7","9.5","10.9","2.1","17.2","16.6","16.1","20.4","13.2","211.9"
"30","Joshua Dobbs","QB","SF","1","25.2","17.1","23.4","10.7","11.1","16.1","24.9","24.9","25.1","17.9","8.5","-","4.6","-","-","-","-","16.2","210.7"
"31","Gardner Minshew II","QB","LV","0","11.1","13.1","-","6.3","12.6","28.1","15.8","9.6","6.7","-","15.6","18.7","15.1","20.6","10.1","13.3","8.5","12.8","205.2"
"32","Rachaad White","RB","TB","4.9","16.3","4.2","7.8","BYE","3.8","9.9","10.9","23.9","15.8","11.8","11","16.6","19.5","19.9","13.7","4.6","9.3","12","203.9"
"33","Mike Evans","WR","TB","12.6","23.1","12","4","BYE","4.9","14.2","9.9","8.7","20.3","10.3","19","22.2","0.8","11.7","20.6","7","2.2","12","203.5"
"34","Puka Nacua","WR","LAR","11.9","15.1","7.2","22.3","13.1","2.6","15.4","4.3","3.2","BYE","13.7","2.7","19.9","9","5.3","24","13.7","10.1","11.4","193.5"
"35","David Montgomery","RB","DET","13.4","11.4","-","32.1","18.9","3.3","-","-","BYE","17.6","15.8","15.1","11.5","8.5","8.2","12.9","12.5","10","13.7","191.2"
"36","DJ Moore","WR","CHI","2.5","10.4","10.1","19.1","41","5.1","5.4","5.5","2.4","5.9","15.6","11.4","BYE","20.8","5.2","1.8","21.9","6.4","11.2","190.5"
"37","Jahmyr Gibbs","RB","DET","6","5.6","8.2","5.1","-","-","18.6","24.9","BYE","23.2","15.5","7.3","5.4","14.2","22.8","20","4.3","9","12.7","190.1"
"38","James Cook","RB","BUF","6.3","15.9","11.2","13.7","2.1","7.1","16.2","7.3","3.9","10","16.2","10","BYE","20.1","34.1","5","4.4","5.2","11.1","188.7"
"39","Bijan Robinson","RB","ATL","14.3","17.2","6","13.7","9.8","8","0.3","12.2","3.9","16.6","BYE","24.3","7.9","14.8","-0.6","12.2","8.6","19.1","11.1","188.3"
"40","Desmond Ridder","QB","ARI","7.9","22.4","6.3","8.2","26.2","19.1","13.8","3.4","-","8.7","-","11.7","8.8","26.4","8.9","-","-0.3","16.6","12.5","188.1"
"41","Deebo Samuel Sr.","WR","SF","6.3","16.1","19.1","0.6","8.5","1.1","-","-","BYE","11.9","6.2","15.4","31.8","27","17.9","5.4","13.2","3.2","12.2","183.7"
"42","A.J. Brown","WR","PHI","7.9","2.9","13.1","29.5","12.7","13.1","19.7","25","12.6","BYE","0.8","9.7","11.4","7.4","5.6","8","5.3","-1.1","10.8","183.6"
"43","Saquon Barkley","RB","PHI","6.3","21.2","-","-","-","9.8","15.8","12.8","11.3","6.1","26","5.2","-","20.1","3.7","16.4","5.8","21.7","13","182.2"
"44","Brandon Aubrey","K","DAL","10","18","11","12","6","8","BYE","13","7","7","9","9","15","22","4","9","11","10","10.6","181"
"45","Nico Collins","WR","HOU","8","20.6","3.4","28.8","3.9","8","BYE","3","11.4","-","6.5","16.4","25.1","1.3","-","9.8","8.7","25.5","12","180.4"
"46","Dallas Cowboys","DST","DAL","37","15","1","27","-1","4","BYE","15","2","8","21","16","-1","11","0","1","6","16","10.5","178"
"47","Gus Edwards","RB","LAC","5.2","12.2","5.1","4.9","4.8","5.3","20.4","27.4","17.2","8.8","19","3.7","-","1.5","12.9","13","10.8","2.8","10.3","175"
"48","James Conner","RB","ARI","7","16.6","17.6","5.6","4.6","-","-","-","-","7.3","6.3","3.2","22.5","BYE","14.9","17.2","25.3","26.4","13.4","174.5"
"49","Brandon Aiyuk","WR","SF","24.9","4.3","-","14.8","5.8","7.6","5.7","10.9","BYE","11.5","21.6","11","10.6","10.6","3.7","11.3","17.4","2.5","10.9","174.2"
"50","Baltimore Ravens","DST","BAL","11","3","7","17","6","11","14","6","15","14","6","15","BYE","7","9","15","10","8","10.2","174"
"51","Keenan Allen","WR","CHI","8.2","23.1","27.5","9.2","-","14.5","5.5","6.9","7.7","29.5","17.6","8.6","5.8","6.8","-","-","-","-","13.1","170.9"
"52","Kenneth Walker III","RB","SEA","6.7","17.4","27.6","13.9","BYE","14.9","11.1","7","1.7","18.7","1.6","-","-","5.4","17.2","5.6","13.5","8.1","11.4","170.4"
"53","Isiah Pacheco","RB","KC","5.4","7","13.8","21.8","12.4","9.8","12","3.7","6.6","BYE","9.1","20.9","18.3","-","-","6.6","22.5","-","12.1","169.9"
"54","Tony Pollard","RB","TEN","20.2","12.9","12.1","6","4.4","11","BYE","5.5","6.3","5.5","14","16.3","14.3","9.6","5.7","4.3","4.9","14.6","9.9","167.6"
"55","Jerome Ford","RB","CLE","1.6","21.1","17.1","4.5","BYE","9.1","15.4","3.9","7.7","10.9","9.9","7.9","11.2","8.2","3.1","8.3","24.1","3.2","9.8","167.2"
"56","Stefon Diggs","WR","HOU","16.2","6.6","11.1","30","16.1","10","11.8","7","16.6","3.4","2.7","13.4","-","2.4","4.8","2.9","3.1","8.7","9.8","166.8"
"57","Najee Harris","RB","PIT","3.3","4.3","6.5","10.3","4","BYE","12.8","5.5","13.6","15.6","3.6","15.9","7.7","4.8","1.3","13.8","24.2","19.3","9.8","166.5"
"58","Bryce Young","QB","CAR","9.5","13.5","-","7.2","20.3","12.7","BYE","14.5","12","9.2","6.2","8.1","8.1","7.5","7.6","22.2","3.7","4.2","10.4","166.4"
"59","De'Von Achane","RB","MIA","-","0.9","47.3","24","20.5","-","-","-","-","BYE","0.5","-","22.3","7.1","6.2","3.1","19.7","12.1","14.9","163.7"
"60","Ja'Marr Chase","WR","CIN","4.1","3.1","14.1","7.3","37.2","8","BYE","15.2","4.1","18.4","7.2","8.1","20.6","2.9","6.4","-","4.1","1.9","10.2","162.7"
"61","Davante Adams","WR","LV","6.6","14.4","29.2","7.5","4.5","2.9","5.7","1.1","3.4","8.6","14.2","7.3","BYE","5.3","16.1","0.4","24.6","10.6","9.6","162.4"
"62","Brian Robinson Jr.","RB","WAS","12.6","26.9","7","11.1","4.3","11.6","8.3","7.9","10.7","21.7","13.2","6.4","5.3","BYE","-","-","7.6","7.5","10.8","162.1"
"63","D'Andre Swift","RB","CHI","0.3","24.1","13.8","13.9","10.8","9.8","7.5","12.4","7.4","-","16.7","8.4","2","3.9","7.5","15.2","6.6","-","10","160.3"
"64","Justin Tucker","K","BAL","5","11","7","4","4","19","8","8","14","7","11","10","BYE","12","12","16","8","4","9.4","160"
"65","DK Metcalf","WR","SEA","10.7","7.5","11.2","9.4","BYE","6.9","-","6.7","5","9.8","15.4","3.2","31.4","11.2","7.8","11.6","10.6","1","10","159.4"
"66","Buffalo Bills","DST","BUF","5","10","32","9","9","7","2","6","1","6","21","2","BYE","6","9","5","17","12","9.4","159"
"67","Cairo Santos","K","CHI","7","7","4","4","17","9","8","1","5","12","17","14","BYE","11","6","10","15","11","9.3","158"
"67","Jason Myers","K","SEA","8","7","18","6","BYE","9","9","6","3","21","15","9","5","5","9","8","13","7","9.3","158"
"67","Alvin Kamara","RB","NO","-","-","-","8.4","15.7","10.4","17.3","23","7","11.5","BYE","11.9","22.9","10.5","11","3.5","4.9","-","12.2","158"
"70","Matt Gay","K","IND","3","8","24","1","12","10","8","10","11","6","BYE","10","14","0","13","4","12","11","9.2","157"
"71","Jake Elliott","K","PHI","18","12","11","18","11","2","7","10","4","BYE","3","9","7","10","5","17","8","4","9.2","156"
"72","Amari Cooper","WR","CLE","3.7","9","17.6","1.6","BYE","10.8","2.2","8.9","19.9","9.8","3.4","1.6","3.4","5.7","16.9","40.5","-","-","10.3","155"
"73","Kirk Cousins","QB","ATL","17.5","28.6","26.7","11.6","19.9","8.7","22","19.9","-","-","BYE","-","-","-","-","-","-","-","19.3","154.7"
"74","Harrison Butker","K","KC","8","5","12","11","10","17","7","11","3","BYE","6","7","7","5","11","2","24","8","9.1","154"
"74","New York Jets","DST","NYJ","20","0","1","7","18","11","BYE","8","5","8","2","13","9","12","2","8","12","18","9.1","154"
"76","Calvin Ridley","WR","TEN","16.1","3.2","4","9.8","13.6","2.6","0.5","8.3","-","2","24.1","16.9","3.3","5.3","3.9","19.8","3.9","16.6","9.1","153.9"
"77","Sam LaPorta","TE","DET","3.9","6.3","14.4","5.6","16.7","3.6","5.2","11.7","BYE","4","3.8","12.7","20","2.7","23.6","1.8","8.4","8.9","9","153.3"
"78","Jayden Reed","WR","GB","4.6","15.7","6.3","7.5","0.7","BYE","8.1","8.3","4","14.4","15.2","11","1.6","12.5","11.2","-","20.9","11.2","9.6","153.2"
"79","Joe Burrow","QB","CIN","3.2","16.4","9.2","4.7","24.4","14.8","BYE","27.6","22.3","21.9","8.7","-","-","-","-","-","-","-","15.3","153.2"
"80","Cleveland Browns","DST","CLE","9","7","12","4","BYE","6","16","5","23","15","7","2","-4","12","13","7","15","4","9","153"
"81","Miami Dolphins","DST","MIA","2","9","8","-2","11","5","12","6","5","BYE","12","21","12","12","24","7","-1","9","8.9","152"
"82","Kyler Murray","QB","ARI","-","-","-","-","-","-","-","-","-","18.3","22.7","20.4","11.8","BYE","15.3","20.4","24.7","17.8","18.9","151.4"
"83","Jordan Addison","WR","MIN","12.1","13.2","5.2","0","12.4","8.8","24.3","14.4","5.2","6.9","4.4","3.9","BYE","2.7","23.1","0.2","2.8","11.7","8.9","151.3"
"84","Cameron Dicker","K","LAC","12","10","4","6","BYE","5","7","16","11","9","8","4","6","1","3","21","13","15","8.9","151"
"85","Jake Browning","QB","CIN","-0.1","-","-","-","-","-","BYE","-","-","-","10.7","13","25.7","24.7","20","16.4","21.1","19","16.7","150.4"
"86","Blake Grupe","K","NO","12","8","5","10","14","9","11","8","8","4","BYE","19","4","4","8","2","12","12","8.8","150"
"87","Dustin Hopkins","K","CLE","12","9","12","5","BYE","17","22","8","10","14","7","6","8","9","8","2","-","-","9.9","149"
"88","DeAndre Hopkins","WR","TEN","6.5","4","4.8","6.3","14","2","BYE","30.8","6.5","2.7","11.9","4.9","13.9","18.4","2.1","2","7.2","10.6","8.7","148.6"
"89","Jakobi Meyers","WR","LV","20.1","-","8.5","3.3","13.5","12.1","11","1.9","11.5","2.1","4.9","14.1","BYE","2.5","13.7","4.2","5.6","18.6","9.2","147.6"
"90","DeVonta Smith","WR","PHI","10.7","19.1","2.8","7.8","0.6","4.4","4.9","15.9","11.1","BYE","9.9","16.6","15.6","5.3","5","13.9","3","-","9.2","146.6"
"91","Las Vegas Raiders","DST","LV","3","-2","1","4","12","9","4","13","19","8","8","0","BYE","12","25","21","1","8","8.6","146"
"91","Jason Sanders","K","MIA","14","6","10","2","8","6","6","7","2","BYE","11","12","10","9","12","22","7","2","8.6","146"
"91","Brandon McManus","K","WAS","8","10","5","14","6","17","8","16","-","3","10","14","8","3","1","0","14","9","8.6","146"
"94","George Pickens","WR","PIT","3.6","18.7","7.5","2.5","20.6","BYE","10.7","8.2","-0.1","4.5","3.7","5.8","8.6","1.9","4.7","31.5","13.1","0.3","8.6","145.8"
"95","Chris Olave","WR","NO","11.2","8.6","10.4","0.4","7.2","9.6","5.7","4.6","10.6","15.4","BYE","11.4","11.9","8.8","-","14.3","2.6","11.6","9","144.3"
"96","Josh Jacobs","RB","GB","7.1","4.9","8","19.9","14.9","9.3","4.1","14.8","21.8","10.7","5.1","18.5","-","5","-","-","-","-","11.1","144.1"
"97","Chuba Hubbard","RB","CAR","6.9","5","0.4","5.3","3.5","15","BYE","5.4","6.7","3.9","6.5","15.2","22.4","9.6","10.3","11.1","7.1","9.2","8.4","143.5"
"98","New Orleans Saints","DST","NO","10","7","10","3","24","5","4","4","13","1","BYE","5","0","21","14","0","14","8","8.4","143"
"98","Pittsburgh Steelers","DST","PIT","4","26","11","-1","18","BYE","5","10","7","8","7","10","2","4","4","13","3","12","8.4","143"
"98","Greg Zuerlein","K","NYJ","11","-","6","4","18","14","BYE","7","8","16","0","1","7","17","0","14","10","10","8.9","143"
"101","Zack Moss","RB","CIN","-","16.7","20.5","9","31.5","11.9","6.2","13.4","2.6","0.2","-","7","5.7","5.6","9.3","-","-","3","10.2","142.6"
"102","Michael Pittman Jr.","WR","IND","15.7","5.6","7.7","3.5","5.2","10.9","14.3","10","6.4","8.4","BYE","10.7","16.5","11.5","7.8","-","4.6","2.4","8.8","141.2"
"103","San Francisco 49ers","DST","SF","13","5","8","2","16","7","2","4","BYE","20","9","14","4","9","12","3","9","4","8.3","141"
"104","Evan McPherson","K","CIN","4","6","19","3","12","7","BYE","9","6","11","10","5","13","10","9","3","5","8","8.2","140"
"105","Indianapolis Colts","DST","IND","11","9","9","3","4","1","5","-1","26","16","BYE","11","17","7","14","0","3","4","8.2","139"
"106","George Kittle","TE","SF","1.9","3","9","0.9","24.7","0.1","8","14.9","BYE","17.6","14.9","1.9","6.8","13.6","5.4","12.6","2.9","-","8.6","138.2"
"107","Younghoe Koo","K","ATL","7","13","7","1","7","5","13","12","19","5","BYE","6","8","5","1","19","5","5","8.1","138"
"108","Jonathan Taylor","RB","IND","-","-","-","-","3.4","6.5","18","9.7","12.9","13.5","BYE","21.1","-","-","-","10.3","16.4","25.6","13.7","137.4"
"109","Devin Singletary","RB","NYG","1.5","2.4","4.5","7.8","0","6.2","-","4.3","2.6","22.1","17.8","7.2","4","12.5","17","6.3","8.6","12.5","8.1","137.3"
"110","Chase McLaughlin","K","TB","10","9","3","10","BYE","6","7","6","16","8","2","8","3","11","11","14","1","11","8","136"
"111","Jaylen Warren","RB","PIT","1.8","8.6","5.2","5.5","7.9","BYE","9.1","3.8","11.3","17","20.5","4.2","5.5","4","6.8","5.4","15.8","3","8","135.4"
"112","Austin Ekeler","RB","WAS","22.4","-","-","-","-","6.2","4.6","16.3","19","17.5","5","4.4","2.7","16","3.8","8.6","3","4.9","9.6","134.4"
"113","Justin Jefferson","WR","MIN","15","13.9","20.9","20.5","2.8","-","-","-","-","-","-","-","BYE","2.7","8.4","20.1","5.9","24","13.4","134.2"
"114","Kansas City Chiefs","DST","KC","4","10","11","5","6","14","10","10","12","BYE","7","2","2","6","7","6","7","15","7.9","134"
"115","Rashee Rice","WR","KC","8.6","2","5.9","3.2","9.3","7.2","12","5.6","7.7","BYE","4.2","16.7","6.4","11.2","15.1","5.7","12.7","-","8.3","133.5"
"116","Chris Boswell","K","PIT","1","12","15","6","11","BYE","8","4","8","13","4","11","4","6","1","12","12","5","7.8","133"
"116","Tyler Bass","K","BUF","13","8","15","14","2","2","5","6","4","2","17","12","BYE","8","7","6","9","3","7.8","133"
"116","Tampa Bay Buccaneers","DST","TB","9","17","5","13","BYE","4","6","4","1","13","4","4","7","7","5","16","1","17","7.8","133"
"119","Aidan O'Connell","QB","LV","-","-","-","10.8","-","-","6","-","8.4","9.4","12.1","13.9","BYE","6","25.9","2.1","20.3","17.9","12.1","132.8"
"120","Javonte Williams","RB","DEN","5.7","5.8","6.5","0.9","-","7.2","9.6","15.8","BYE","17","5.3","7.1","7","15.1","2","7.9","5.8","13.5","8.3","132.2"
"121","Courtland Sutton","WR","DEN","9.2","6.6","11.1","8.7","1.3","10.6","13.6","8.9","BYE","9.3","12.6","6.1","13.7","12.2","7.1","0","-","0.2","8.2","131.2"
"122","Jake Moody","K","SF","14","14","12","5","6","5","7","5","BYE","10","9","7","6","4","10","6","9","2","7.7","131"
"122","Houston Texans","DST","HOU","8","-1","13","12","4","10","BYE","7","0","8","8","2","10","5","13","7","21","4","7.7","131"
"122","Nick Folk","K","TEN","18","10","4","11","12","10","BYE","4","11","6","2","7","9","8","5","5","5","4","7.7","131"
"122","New York Giants","DST","NYG","-1","-1","1","3","12","5","14","12","-1","0","23","12","BYE","8","1","10","16","17","7.7","131"
"126","Matt Prater","K","ARI","12","9","13","4","2","11","5","5","0","18","6","0","8","BYE","14","6","9","8","7.6","130"
"127","Zay Flowers","WR","BAL","8.7","6.8","5","5","7.3","11.1","7.5","1.9","1.1","7.3","5","18.2","BYE","14","0.7","13.2","16.6","-","8.1","129.4"
"128","Wil Lutz","K","DEN","4","9","8","9","7","0","15","6","BYE","15","17","9","5","6","5","1","11","2","7.6","129"
"129","Adam Thielen","WR","CAR","1.2","13.4","20.5","8.2","16.7","17.5","BYE","7.2","2.9","4.2","7.4","0.2","2.5","7.4","4.3","9.4","3.8","1.2","7.5","128"
"130","Zach Wilson","QB","DEN","9.2","11.4","6.4","19.2","9.6","10.9","-","12.1","7.2","14.9","7.7","-","-","19.2","-1","-","-","-","10.6","126.9"
"131","Jaylen Waddle","WR","MIA","7.8","8.4","-","4.6","9.5","11.1","6.3","18.1","5.4","BYE","5.5","11.4","5.2","7.9","20.2","5.2","-","-","9","126.6"
"132","Travis Kelce","TE","KC","-","8.6","12.9","6","12.7","12.4","23.9","5.8","1.4","BYE","8.4","9.1","8.1","8.3","2.8","4.4","1.6","-","8.4","126.4"
"133","Chris Godwin","WR","TB","5.1","5.8","5.2","11.4","BYE","7.7","6.6","12.8","1.6","5.4","3.9","4.5","7.9","5.3","15.5","7.9","14.1","5.5","7.4","126.2"
"134","Anders Carlson","K","GB","10","6","4","8","7","BYE","5","4","8","7","5","6","11","11","8","11","9","5","7.4","125"
"135","Terry McLaurin","WR","WAS","3.1","11.4","4.1","8.6","4.9","8.1","9","12.3","7.3","3.3","4.3","5","0","BYE","20.1","5","12.1","5.6","7.3","124.2"
"136","Minnesota Vikings","DST","MIN","2","5","2","17","2","21","8","10","4","8","2","11","BYE","20","7","4","1","0","7.3","124"
"137","T.J. Hockenson","TE","MIN","3.5","18.6","5.8","2.4","5.1","5","8.6","14.8","6.9","19.4","5.5","11","BYE","5.3","6.3","5.8","-","-","8.3","124"
"138","Ezekiel Elliott","RB","DAL","2.3","1.3","8.7","2.2","3.8","10.9","9.1","3.6","3.2","8.8","-","5.2","9.2","20","4.6","12","10.5","8.1","7.3","123.5"
"139","Tyler Lockett","WR","SEA","1","17.9","5.4","5.4","BYE","9.4","3.8","14.1","3.2","15.2","5.1","3","4.7","8.9","2.1","8.1","1","15.1","7.3","123.4"
"140","Daniel Carlson","K","LV","5","5","4","5","5","13","7","2","14","14","8","5","BYE","0","9","6","9","10","7.1","121"
"141","David Njoku","TE","CLE","2.4","2.8","2","4.6","BYE","2.4","5.4","13.7","8.6","5.8","5.6","5.9","1.7","21.1","16.4","10.4","11.4","-","7.5","120.2"
"142","Jacksonville Jaguars","DST","JAC","11","8","-4","20","5","12","9","11","BYE","1","7","4","3","6","5","1","18","3","7.1","120"
"142","Chicago Bears","DST","CHI","0","2","0","1","10","10","17","1","0","7","9","14","BYE","14","17","3","11","4","7.1","120"
"144","Tyler Allgeier","RB","ATL","21.4","4.8","2.9","1.2","6","5.1","11.2","3.1","9","3.8","BYE","6.4","2.6","4","5.1","14.8","14.8","3.4","7","119.6"
"145","Brandin Cooks","WR","DAL","2.2","-","1.7","2.7","1.3","11","BYE","11.2","0.7","23.3","4.2","13.2","12.5","3.7","1","8.3","12","10.2","7.5","119.2"
"146","Greg Joseph","K","GB","5","4","6","3","9","11","12","6","11","10","8","4","-","3","6","6","6","9","7","119"
"147","Mac Jones","QB","JAC","25.1","14.7","13.3","2.7","0.4","6.9","20","13.2","12.1","8.3","-","1.6","-","-","-","-","-","-","10.8","118.4"
"148","Garrett Wilson","WR","NYJ","9.4","14.3","4.8","6","5.4","9","BYE","10.6","6","9.3","-1.1","10.4","5","11.1","2.9","6.8","4.9","3.4","7","118.2"
"149","Tank Dell","WR","HOU","3.4","13.2","20.5","2.9","5.3","-","BYE","3.1","23.6","12.9","20.9","12.2","0","-","-","-","-","-","10.7","118"
"149","Denver Broncos","DST","DEN","3","0","2","13","8","5","3","17","BYE","8","9","16","5","14","-2","5","9","3","6.9","118"
"149","Cincinnati Bengals","DST","CIN","7","6","11","5","16","12","BYE","9","6","6","2","5","3","11","7","0","4","8","6.9","118"
"152","Gabe Davis","WR","JAC","3.2","15.2","9.3","12.1","16","0.1","0.6","14.7","0","7.6","0","16.5","-","0","0","19","2.1","0","6.8","116.4"
"153","Evan Engram","TE","JAC","4.9","5.7","6.7","5.9","2.8","4.1","4.5","6.8","BYE","1.2","2.9","4.9","14.2","21.5","2.8","7.5","6","13.9","6.8","116.3"
"154","Romeo Doubs","WR","GB","14.6","3","13.3","9.5","0.4","BYE","9","7.8","3.6","9.1","11.3","3.7","7.2","3.2","3","13.9","2.8","0","6.8","115.4"
"155","Green Bay Packers","DST","GB","15","3","5","3","9","BYE","2","7","12","1","5","15","6","4","6","1","12","9","6.8","115"
"156","Kenny Pickett","QB","PHI","11.7","11.3","18.5","4.5","12.4","-","15.2","3.9","10.3","6.6","5.1","11.6","3.1","-","-","-","-","-","9.5","114.2"
"157","Ka'imi Fairbairn","K","HOU","9","8","13","12","15","8","BYE","1","6","-","-","-","-","-","17","2","16","7","9.5","114"
"158","Los Angeles Chargers","DST","LAC","0","5","8","14","BYE","8","4","9","27","-4","3","3","17","4","-3","7","3","7","6.6","112"
"159","Taysom Hill","TE","NO","0.4","7.7","2.1","2.2","2","5.3","12.8","21.5","16.6","2.3","BYE","6.1","13.4","-","0.5","0.2","9.5","7.9","6.9","110.5"
"160","Rashid Shaheed","WR","NO","14","6.3","6","3.3","2.8","16.3","3.2","21.3","2.2","2.4","BYE","0.9","-","0","3.6","13.4","1.4","12.5","6.9","109.6"
"161","New England Patriots","DST","NE","6","5","9","3","1","2","5","5","8","6","BYE","12","7","5","7","15","9","4","6.4","109"
"161","Seattle Seahawks","DST","SEA","1","13","3","30","BYE","6","8","10","1","5","4","8","0","6","5","7","0","2","6.4","109"
"161","Eddy Pineiro","K","CAR","5","13","11","9","6","3","BYE","10","8","7","5","6","4","7","9","6","-","-","7.3","109"
"164","Joe Flacco","QB","IND","-","-","-","-","-","-","-","-","-","-","BYE","-","17.2","21.3","19.9","26.8","23.7","-","21.8","108.8"
"165","Cole Kmet","TE","CHI","4.4","3.8","2.2","20.6","10.2","0.9","0","7.9","17.5","4.6","2","4.3","BYE","6.6","8.3","10.7","0","4.1","6.4","108.1"
"166","Rhamondre Stevenson","RB","NE","8.9","12","6.2","4","2.4","13","8.5","5","18.9","10.2","BYE","16.7","1.9","-","-","-","-","-","9","107.7"
"167","Detroit Lions","DST","DET","9","0","16","10","7","10","-2","12","BYE","-2","6","0","5","4","5","12","6","9","6.3","107"
"168","Jake Ferguson","TE","DAL","1.1","7.1","4.8","7.7","2.8","1.5","BYE","10.7","15.1","8.6","3.2","3.5","13.7","7.2","4.4","4.5","3.3","6.9","6.2","106.1"
